款号,颜色,中类,季节,季节策略,销售数,销售金额,库存,周均销量,库存周数,建议补货量,建议动作,补货原则,主销尺码,进货提醒,控折扣原则,预算建议,进货顺序
TNX1K60613Z,紫红色,裤类,夏,下一季试补,21.0,2939.33,1.0,21.0,0.047619047619047616,83.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60614Z,藏青色,裤类,夏,下一季试补,18.0,2757.83,0.0,18.0,0.0,72.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1Y90912Z,米白色,防晒服,夏,下一季试补,13.0,2750.18,0.0,13.0,0.0,52.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1T20177X,蓝色,衣类,夏,下一季试补,18.0,2681.38,-1.0,18.0,-0.05555555555555555,73.0,先校库存再补货,先校库存,130/M、120/S、110/XS,库存口径异常，先别下单,先校库存，先别谈活动和折扣,库存异常款先不下单，预算留给正常主销款,先查账、查盘点、查调拨，确认后再补
TNX1K60599X,藏青色,裤类,夏,下一季试补,26.0,2564.21,0.0,26.0,0.0,104.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60613Z,浅灰色,裤类,夏,下一季试补,18.0,2548.8,3.0,18.0,0.16666666666666666,69.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1T20195Z,灰紫色,衣类,夏,下一季试补,22.0,2527.13,4.0,22.0,0.18181818181818182,84.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1T20177X,米色,衣类,夏,下一季试补,18.0,2465.66,0.0,18.0,0.0,72.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1T20187Z,白色,衣类,夏,下一季试补,27.0,2446.31,6.0,27.0,0.2222222222222222,102.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1T20195Z,粉色,衣类,夏,下一季试补,20.0,2328.77,1.0,20.0,0.05,79.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX2K10237,款色,常规内裤,夏,下一季试补,50.0,2321.49,4.0,50.0,0.08,196.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60614Z,粉色,裤类,夏,下一季试补,15.0,2300.62,2.0,15.0,0.13333333333333333,58.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNC1K60597Z,紫色,裤类,春,当季主推,19.0,2288.26,1.0,19.0,0.05263157894736842,75.0,立即补货,先稳毛利再补,130/M、120/S、110/XS,先保高毛利主销，不靠深折补量,先做组合和套装，不建议继续加深折扣,预算先给主销核心款和核心尺码，不做平均补货,先补核心尺码，再补主销色，最后才补边缘尺码
TNX1K60604X,米灰色,裤类,夏,下一季试补,19.0,2144.29,0.0,19.0,0.0,76.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60603X,米白色,裤类,夏,下一季试补,20.0,2110.03,-2.0,20.0,-0.1,82.0,先校库存再补货,先校库存,130/M、120/S、110/XS,库存口径异常，先别下单,先校库存，先别谈活动和折扣,库存异常款先不下单，预算留给正常主销款,先查账、查盘点、查调拨，确认后再补
TNX2K50263,款色,常规内裤,夏,下一季试补,48.0,2085.03,-2.0,48.0,-0.041666666666666664,194.0,先校库存再补货,先校库存,130/M、120/S、110/XS,库存口径异常，先别下单,先校库存，先别谈活动和折扣,库存异常款先不下单，预算留给正常主销款,先查账、查盘点、查调拨，确认后再补
TNX1K60609Z,奶白色,裤类,夏,下一季试补,11.0,2075.92,1.0,11.0,0.09090909090909091,43.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60610Z,卡其色,裤类,夏,下一季试补,15.0,2073.26,1.0,15.0,0.06666666666666667,59.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60613Z,浅绿色,裤类,夏,下一季试补,15.0,2070.72,5.0,15.0,0.3333333333333333,55.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1Y90915X,浅绿色,衣类,夏,下一季试补,11.0,2042.41,0.0,11.0,0.0,44.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX3K50282,款色,常规内裤,夏,下一季试补,23.0,2038.36,1.0,23.0,0.043478260869565216,91.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1Y90912Z,紫色,防晒服,夏,下一季试补,10.0,2017.92,0.0,10.0,0.0,40.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60600X,藏青色,裤类,夏,下一季试补,23.0,2012.82,0.0,23.0,0.0,92.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60599X,米灰色,裤类,夏,下一季试补,20.0,1995.33,0.0,20.0,0.0,80.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX3K50286,款色,常规内裤,夏,下一季试补,22.0,1870.94,-1.0,22.0,-0.045454545454545456,89.0,先校库存再补货,先校库存,130/M、120/S、110/XS,库存口径异常，先别下单,先校库存，先别谈活动和折扣,库存异常款先不下单，预算留给正常主销款,先查账、查盘点、查调拨，确认后再补
TNX1K60608X,米白色,裤类,夏,下一季试补,16.0,1850.82,0.0,16.0,0.0,64.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60607X,深灰色,裤类,夏,下一季试补,19.0,1843.86,0.0,19.0,0.0,76.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60614Z,米灰色,裤类,夏,下一季试补,12.0,1814.09,1.0,12.0,0.08333333333333333,47.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60609Z,绿色,裤类,夏,下一季试补,9.0,1779.68,3.0,9.0,0.3333333333333333,33.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TMX2K50211,款色,常规内裤,夏,下一季试补,41.0,1749.24,6.0,41.0,0.14634146341463414,158.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX2K50267,款色,常规内裤,夏,下一季试补,42.0,1735.22,0.0,42.0,0.0,168.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60610Z,深灰色,裤类,夏,下一季试补,13.0,1734.62,0.0,13.0,0.0,52.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX2K10248,款色,常规内裤,夏,下一季试补,40.0,1715.52,1.0,40.0,0.025,159.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1Y90912Z,蓝色,防晒服,夏,下一季试补,7.0,1703.53,1.0,7.0,0.14285714285714285,27.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX3K10253,款色,常规内裤,夏,下一季试补,20.0,1699.71,1.0,20.0,0.05,79.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX2K10236,款色,常规内裤,夏,下一季试补,38.0,1695.42,3.0,38.0,0.07894736842105263,149.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX2K10243,款色,常规内裤,夏,下一季试补,39.0,1681.14,8.0,39.0,0.20512820512820512,148.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1Y90913Z,渐变色,防晒服,夏,下一季试补,7.0,1672.44,4.0,7.0,0.5714285714285714,24.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX2K10249,款色,常规内裤,夏,下一季试补,37.0,1666.36,12.0,37.0,0.32432432432432434,136.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX3K10254,款色,常规内裤,夏,下一季试补,18.0,1632.41,7.0,18.0,0.3888888888888889,65.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX2K50278,款色,常规内裤,夏,下一季试补,36.0,1628.29,12.0,36.0,0.3333333333333333,132.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX3K50284,款色,常规内裤,夏,下一季试补,18.0,1578.53,1.0,18.0,0.05555555555555555,71.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1Y90884X,蓝色,家居服,夏,下一季试补,10.0,1578.21,0.0,10.0,0.0,40.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX2K10240,款色,常规内裤,夏,下一季试补,31.0,1543.36,23.0,31.0,0.7419354838709677,101.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX2K10250,款色,常规内裤,夏,下一季试补,36.0,1539.25,6.0,36.0,0.16666666666666666,138.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60610Z,米色,裤类,夏,下一季试补,11.0,1517.22,0.0,11.0,0.0,44.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60611Z,灰绿色,裤类,夏,下一季试补,14.0,1499.97,0.0,14.0,0.0,56.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60612Z,暗紫色,裤类,夏,下一季试补,11.0,1499.92,0.0,11.0,0.0,44.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX2K50268,款色,常规内裤,夏,下一季试补,35.0,1486.42,4.0,35.0,0.11428571428571428,136.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1T20187Z,紫色,衣类,夏,下一季试补,17.0,1472.94,0.0,17.0,0.0,68.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60600X,浅蓝色,裤类,夏,下一季试补,17.0,1441.98,0.0,17.0,0.0,68.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1T20183X,橘粉色,衣类,夏,下一季试补,20.0,1406.28,-3.0,20.0,-0.15,83.0,先校库存再补货,先校库存,130/M、120/S、110/XS,库存口径异常，先别下单,先校库存，先别谈活动和折扣,库存异常款先不下单，预算留给正常主销款,先查账、查盘点、查调拨，确认后再补
TNX1K60606X,黄色,裤类,夏,下一季试补,12.0,1403.75,3.0,12.0,0.25,45.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX3K50283,款色,常规内裤,夏,下一季试补,15.0,1401.12,9.0,15.0,0.6,51.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K50290,款色,常规内裤,夏,下一季试补,38.0,1364.78,20.0,38.0,0.5263157894736842,132.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNC1K60596Z,白色,裤类,春,当季主推,11.0,1361.85,8.0,11.0,0.7272727272727273,36.0,立即补货,先稳毛利再补,130/M、120/S、110/XS,先保高毛利主销，不靠深折补量,先做组合和套装，不建议继续加深折扣,预算先给主销核心款和核心尺码，不做平均补货,先补核心尺码，再补主销色，最后才补边缘尺码
TNX2K10232,款色,常规内裤,夏,下一季试补,29.0,1353.8,12.0,29.0,0.41379310344827586,104.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNC1K60597Z,米白色,裤类,春,当季主推,11.0,1342.74,3.0,11.0,0.2727272727272727,41.0,立即补货,先稳毛利再补,130/M、120/S、110/XS,先保高毛利主销，不靠深折补量,先做组合和套装，不建议继续加深折扣,预算先给主销核心款和核心尺码，不做平均补货,先补核心尺码，再补主销色，最后才补边缘尺码
TNX2K50266,款色,常规内裤,夏,下一季试补,31.0,1342.13,9.0,31.0,0.2903225806451613,115.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60606X,米白色,裤类,夏,下一季试补,11.0,1338.57,3.0,11.0,0.2727272727272727,41.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX2K50259,款色,常规内裤,夏,下一季试补,29.0,1333.11,18.0,29.0,0.6206896551724138,98.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60611Z,灰色,裤类,夏,下一季试补,12.0,1327.0,0.0,12.0,0.0,48.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TMX3K50213,款色,常规内裤,夏,下一季试补,16.0,1319.46,1.0,16.0,0.0625,63.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60616Z,紫色,裤类,夏,下一季试补,13.0,1296.65,-1.0,13.0,-0.07692307692307693,53.0,先校库存再补货,先校库存,130/M、120/S、110/XS,库存口径异常，先别下单,先校库存，先别谈活动和折扣,库存异常款先不下单，预算留给正常主销款,先查账、查盘点、查调拨，确认后再补
TNX3K50285,款色,常规内裤,夏,下一季试补,14.0,1294.01,9.0,14.0,0.6428571428571429,47.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1Y90884X,粉色,家居服,夏,下一季试补,8.0,1291.95,0.0,8.0,0.0,32.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX2K50265,款色,常规内裤,夏,下一季试补,31.0,1282.97,7.0,31.0,0.22580645161290322,117.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60615Z,粉色,裤类,夏,下一季试补,10.0,1257.64,2.0,10.0,0.2,38.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNC1K60595X,米白色,裤类,春,当季主推,16.0,1256.31,0.0,16.0,0.0,64.0,立即补货,先稳毛利再补,130/M、120/S、110/XS,先保高毛利主销，不靠深折补量,先做组合和套装，不建议继续加深折扣,预算先给主销核心款和核心尺码，不做平均补货,先补核心尺码，再补主销色，最后才补边缘尺码
TNX1K60616Z,米色,裤类,夏,下一季试补,12.0,1242.01,0.0,12.0,0.0,48.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
TNX1K60600X,米白色,裤类,夏,下一季试补,15.0,1220.11,0.0,15.0,0.0,60.0,小量试补,小量试补,130/M、120/S、110/XS,只补样板尺码，先看真实动销再放量,只做轻活动，不额外加深折扣,预算建议控制在常规补货的 30% 以内，先试单再决定是否扩量,先补核心样板尺码，再补相邻尺码，边缘尺码先不进
